user id,user name,team name,preferred position,preferred position most played,jersey number,total_game_time,Succ Interceptions,Succ Interceptions Per 90,Total Possession retained,Possession Retained Per 90,Possession Retention Contribution,Crucial defensive actions,Crucial defensive actions Per 90,Succ Tackles,Succ Tackles Per 90,Tackle Accuracy,Total Pressure Attempted,Total Pressure Attempted Per 90,Pressure Contribution,Succ Ground duels,Ground Duels Per 90,Ground Duel Win rate,Succ Aerial duels,Ariel Duels Per 90,Aerial Duel Win rate,Succ Short pass,Short Passes Per 90,Short Pass Accuracy,Succ Long pass,Long Passes Per 90,Long Pass Accuracy,Succ Through Ball,Through Balls Per 90,Through Ball Accuracy,Succ Crosses,Crosses Per 90,Crossing Accuracy,Total Forward Passes,Total Forward Passes Per 90,Forward Pass Accuracy,Progressive passes,Progressive passes Per 90,Total Passes completed in final third,Passes completed in final third per 90,Total Progressive Passes received in final third,Progressive Passes received in final third per 90,Total Touches in final third,Touches in final third per 90,Total Successful Toches in final third,Successful Touches in final third per 90,Chances Created,Chances Created Per 90,Chance creation contribution,Total Assists,Total Assists Per 90,Total dribbles completed,Dribbles Completed Per 90,Total close shots on target,Total close shots on target Per 90,Close shot accuracy,Total Long Shot on target,Total Long Shot on target Per 90,Long Shot Accuracy,Total Headed shots on target,Total Headed shots on target Per 90,Attempts On Target Per 90,Headed shot accuracy,Goals from Close shot,Goals from Close shot Per 90,Goals from long shot,Goals from long shot Per 90,Maximum Sense Score,Minimum Sense Score,Average Sense Score,Maximum PP Score,Minimum PP Score,Absolute Score,Preferred Position Score,Overall Preferred Position Score,Total Saves,Goal Conceded,Goalkick Accuracy,Goalkeeper Throws Completed,Handling,Punches,Clearances,Successful Ball Carry Per 90,Ball Carry Accuracy,Goals from headed shot,Goals from headed shot Per 90
10748,Shamsher Singh,ASC & Center FC,"['ATTACKING MIDFIELDER', 'LEFT MIDFIELDER', 'LEFT WINGER', 'RIGHT WINGER']",ATTACKING MIDFIELDER,['24'],687,19,2.489082969,34,4.454148472,8.673469388,2,0.262008734,12,1.572052402,70.58823529,3,0.3930131,18.75,5,0.655021834,55.55555556,6,0.786026201,42.85714286,119,15.58951965,76.28205128,1,0.131004367,50,20,2.620087336,60.60606061,4,0.524017467,16,54,7.074235808,52.42718447,25,3.27510917,235,30.7860262,19,2.489082969,232,30.3930131,156,20.43668122,12,1.572052402,13.79310345,1,0.131004367,3,0.3930131,3,0.3930131,60,4,0.524017467,36.36363636,0,0,0.917030568,0,1,0.131004367,2,0.262008734,9.34,3.91,5.78875,9.34,2,33.76,4.695,5.25,0,0,0,0,0,0,3,5.240174672,100,0,0
10749,Adil Abbas A K,ASC & Center FC,"['CENTRAL MIDFIELDER', 'RIGHT FORWARD', 'RIGHT WINGER', 'LEFT WING BACK']",CENTRAL MIDFIELDER,['25'],1323,54,3.673469388,121,8.231292517,15.18193225,13,0.884353741,65,4.421768707,68.42105263,2,0.136054422,12.5,10,0.680272109,34.48275862,11,0.74829932,47.82608696,354,24.08163265,83.68794326,3,0.204081633,50,51,3.469387755,66.23376623,0,0,0,177,12.04081633,70.23809524,62,4.217687075,390,26.53061224,18,1.224489796,350,23.80952381,225,15.30612245,16,1.088435374,9.411764706,2,0.136054422,9,0.612244898,3,0.204081633,50,4,0.272108844,26.66666667,1,0.068027211,0.544217687,25,1,0.068027211,0,0,12.73,4.01,8.365625,12.73,2.75,102.7,7.81375,7.88,0,0,0,0,0,0,6,2.040816327,100,0,0
10750,Jacob Vanlalbela,ASC & Center FC,"['CENTER FORWARD', 'ATTACKING MIDFIELDER', 'RIGHT FORWARD']",CENTER FORWARD,['11'],515,3,0.524271845,5,0.873786408,1.416430595,0,0,1,0.174757282,16.66666667,1,0.174757282,11.11111111,6,1.048543689,50,1,0.174757282,7.692307692,40,6.990291262,72.72727273,2,0.349514563,100,3,0.524271845,100,0,0,0,11,1.922330097,61.11111111,4,0.699029126,80,13.98058252,15,2.621359223,162,28.31067961,118,20.62135922,4,0.699029126,5.263157895,0,0,5,0.873786408,7,1.223300971,53.84615385,1,0.174757282,100,2,0.349514563,1.747572816,40,2,0.349514563,0,0,4.06,1.59,2.917142857,3.4,0.68,10.61,1.97,1.98,0,0,0,0,0,0,0,1.223300971,100,0,0
10751,Tongbram Krishnakanta,ASC & Center FC,"['RIGHT WINGER', 'RIGHT MIDFIELDER', 'LEFT WING BACK', 'CENTRAL MIDFIELDER', 'RIGHT SIDE BACK', 'LEFT WINGER', 'LEFT FORWARD']",LEFT WINGER,['6'],1061,29,2.45994345,41,3.477851084,6.307692308,8,0.67860509,10,0.848256362,50,2,0.169651272,12.5,5,0.424128181,33.33333333,3,0.254476909,42.85714286,345,29.26484449,84.76658477,5,0.424128181,62.5,40,3.393025448,72.72727273,18,1.526861451,36,138,11.70593779,74.59459459,53,4.495758718,545,46.22997172,72,6.107445806,506,42.92177191,381,32.31856739,35,2.968897267,23.48993289,5,0.424128181,8,0.67860509,9,0.763430726,60,5,0.424128181,38.46153846,1,0.084825636,1.272384543,100,3,0.254476909,0,0,16.32,5.99,10.39076923,15.62,3.16,68.42,6.893076923,6.12,1,0,0,0,1,0,5,6.955702168,100,0,0
10752,Amit  Khawas,ASC & Center FC,['GOALKEEPER'],GOALKEEPER,['21'],648,2,0.277777778,3,0.416666667,0.840336134,0,0,1,0.138888889,33.33333333,0,0,0,0,0,0,0,0,0,64,8.888888889,98.46153846,0,0,0,29,4.027777778,46.03174603,0,0,0,69,9.583333333,66.34615385,37,5.138888889,5,0.694444444,0,0,8,1.111111111,2,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,5.04,6.072857143,7.7,3.56,37.87,5.861428571,5.84,57,14,100,35,41,16,7,0,0,0,0
10753,Ahmed Afsar,Sporting Club Bengaluru,['GOALKEEPER'],GOALKEEPER,['31'],90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,94.11764706,0,0,0,7,7,58.33333333,0,0,0,18,18,75,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,6.2,6.2,5.08,5.08,4.57,5.08,5.08,5,2,0,4,3,2,2,0,0,0,0
10722,Shivakumar R,Bangalore Independents FC,"['STRIKER', 'CENTER FORWARD', 'CENTRAL MIDFIELDER']",STRIKER,['14'],410,4,0.87804878,15,3.292682927,3.623188406,0,0,9,1.975609756,64.28571429,3,0.658536585,37.5,3,0.658536585,75,1,0.219512195,20,65,14.26829268,83.33333333,0,0,0,2,0.43902439,66.66666667,1,0.219512195,100,7,1.536585366,63.63636364,1,0.219512195,110,24.14634146,7,1.536585366,131,28.75609756,88,19.31707317,5,1.097560976,5.952380952,3,0.658536585,1,0.219512195,2,0.43902439,66.66666667,1,0.219512195,33.33333333,1,0.219512195,0.87804878,100,1,0.219512195,0,0,9.89,2.25,5.155,9.89,0,5.4,2.3625,1.03,0,0,0,0,0,0,0,1.756097561,100,0,0
10756,Mhabemo,Real Chikkamangaluru FC,"['RIGHT SIDE BACK', 'RIGHT WING BACK', 'LEFT SIDE BACK']",LEFT SIDE BACK,['24'],137,1,0.656934307,6,3.941605839,3.296703297,0,0,4,2.627737226,80,1,0.656934307,10,0,0,0,1,0.656934307,100,16,10.51094891,88.88888889,0,0,0,0,0,0,0,0,0,9,5.912408759,75,3,1.97080292,20,13.13868613,0,0,9,5.912408759,7,4.598540146,0,0,0,0,0,1,0.656934307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,1.84,3.705,3.33,0.6,2.62,2.0825,1.85,0,0,0,0,0,0,1,1.313868613,100,0,0
10757,Radhe Techi,FC Deccan,"['CENTRAL MIDFIELDER', 'RIGHT SIDE BACK', 'DEFENSIVE MIDFIELDER']",CENTRAL MIDFIELDER,['5'],1109,35,2.840396754,70,5.680793508,9.186351706,9,0.730387737,35,2.840396754,83.33333333,0,0,0,6,0.486925158,35.29411765,7,0.568079351,38.88888889,259,21.01893598,86.91275168,1,0.081154193,50,82,6.654643823,71.30434783,0,0,0,173,14.03967538,73.30508475,75,6.086564472,200,16.23083859,3,0.243462579,110,8.926961226,74,6.00541028,5,0.405770965,6.41025641,0,0,2,0.162308386,0,0,0,2,0.162308386,40,0,0,0.162308386,0,0,0,0,0,15.94,4.03,8.073333333,15.94,3.6,82.94,7.501666667,7.46,0,0,0,0,0,0,29,1.541929666,100,0,0
10758,T H Imran Khan,HAL FC,"['RIGHT WINGER', 'LEFT WINGER', 'STRIKER', 'CENTER FORWARD']",LEFT WINGER,['30'],156,4,2.307692308,10,5.769230769,2.232142857,1,0.576923077,5,2.884615385,62.5,1,0.576923077,3.225806452,1,0.576923077,25,1,0.576923077,50,38,21.92307692,84.44444444,2,1.153846154,100,0,0,0,0,0,0,11,6.346153846,64.70588235,5,2.884615385,95,54.80769231,10,5.769230769,68,39.23076923,51,29.42307692,2,1.153846154,3.448275862,0,0,0,0,0,0,0,1,0.576923077,100,0,0,0.576923077,0,0,0,0,0,17.64,2.31,7.79,8.09,0.62,6.02,3.981428571,3.86,0,0,0,0,0,0,2,5.192307692,100,0,0
