user id,user name,team name,preferred position,preferred position most played,jersey number,total_game_time,Succ Interceptions,Succ Interceptions Per 90,Total Possession retained,Possession Retained Per 90,Possession Retention Contribution,Crucial defensive actions,Crucial defensive actions Per 90,Succ Tackles,Succ Tackles Per 90,Tackle Accuracy,Total Pressure Attempted,Total Pressure Attempted Per 90,Pressure Contribution,Succ Ground duels,Ground Duels Per 90,Ground Duel Win rate,Succ Aerial duels,Ariel Duels Per 90,Aerial Duel Win rate,Succ Short pass,Short Passes Per 90,Short Pass Accuracy,Succ Long pass,Long Passes Per 90,Long Pass Accuracy,Succ Through Ball,Through Balls Per 90,Through Ball Accuracy,Succ Crosses,Crosses Per 90,Crossing Accuracy,Total Forward Passes,Total Forward Passes Per 90,Forward Pass Accuracy,Progressive passes,Progressive passes Per 90,Total Passes completed in final third,Passes completed in final third per 90,Total Progressive Passes received in final third,Progressive Passes received in final third per 90,Total Touches in final third,Touches in final third per 90,Total Successful Toches in final third,Successful Touches in final third per 90,Chances Created,Chances Created Per 90,Chance creation contribution,Total Assists,Total Assists Per 90,Total dribbles completed,Dribbles Completed Per 90,Total close shots on target,Total close shots on target Per 90,Close shot accuracy,Total Long Shot on target,Total Long Shot on target Per 90,Long Shot Accuracy,Total Headed shots on target,Total Headed shots on target Per 90,Attempts On Target Per 90,Headed shot accuracy,Goals from Close shot,Goals from Close shot Per 90,Goals from long shot,Goals from long shot Per 90,Maximum Sense Score,Minimum Sense Score,Average Sense Score,Maximum PP Score,Minimum PP Score,Absolute Score,Preferred Position Score,Overall Preferred Position Score,Total Saves,Goal Conceded,Goalkick Accuracy,Goalkeeper Throws Completed,Handling,Punches,Clearances,Successful Ball Carry Per 90,Ball Carry Accuracy,Goals from headed shot,Goals from headed shot Per 90
10882,Kunzang Bhutia,South United FC,['GOALKEEPER'],GOALKEEPER,['32'],451,1,0.199556541,1,0.199556541,0.324675325,1,0.199556541,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,54,10.77605322,98.18181818,0,0.0,0.0,34,6.784922395,44.73684211,0,0.0,0.0,71,14.16851441,61.73913043,44,8.780487805,0,0.0,0,0.0,4,0.798226164,1,0.199556541,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.199556541,0.199556541,100.0,0,0.0,0,0.0,10.48,3.32,6.962,10.48,2.01,30.05,6.674,6.66,39,4,100.0,16,25,14,5,0.0,0,0,0.0
10884,altab hussain,South United FC,"['RIGHT WINGER', 'LEFT WINGER']",LEFT WINGER,['7'],270,13,4.333333333,18,6.0,8.490566038,2,0.666666667,5,1.666666667,38.46153846,0,0.0,0.0,0,0.0,0.0,3,1.0,42.85714286,48,16.0,72.72727273,2,0.666666667,100.0,3,1.0,75.0,0,0.0,0.0,12,4.0,54.54545455,1,0.333333333,65,21.66666667,14,4.666666667,115,38.33333333,77,25.66666667,1,0.333333333,5.263157895,0,0.0,6,2.0,2,0.666666667,66.66666667,0,0.0,0.0,0,0.0,0.666666667,0.0,0,0.0,0,0.0,6.97,4.58,5.543333333,4.27,2.61,9.36,3.466666667,3.47,0,0,0.0,0,0,0,0,4.666666667,100,0,0.0
11052,Satish Kumar,South United FC,['RIGHT SIDE BACK'],RIGHT SIDE BACK,['14'],450,26,5.2,32,6.4,10.35598706,9,1.8,6,1.2,66.66666667,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,119,23.8,88.14814815,3,0.6,42.85714286,19,3.8,55.88235294,4,0.8,30.76923077,75,15.0,65.78947368,23,4.6,125,25.0,6,1.2,111,22.2,76,15.2,5,1.0,11.62790698,2,0.4,3,0.6,0,0.0,0.0,2,0.4,66.66666667,0,0.0,0.4,0.0,0,0.0,0,0.0,12.1,6.2,8.146,5.72,3.58,20.95,4.656,4.66,0,0,0.0,0,0,0,17,2.2,100,0,0.0
11054,Kishan  Singh,South United FC,"['LEFT SIDE BACK', 'LEFT WING BACK']",LEFT SIDE BACK,['21'],967,46,4.281282316,71,6.608066184,11.25198098,17,1.58221303,25,2.326783868,64.1025641,2,0.186142709,9.523809524,6,0.558428128,50.0,8,0.744570838,66.66666667,254,23.6401241,83.55263158,3,0.279214064,75.0,109,10.14477766,69.42675159,11,1.023784902,33.33333333,216,20.10341262,69.00958466,108,10.05170631,330,30.71354705,14,1.302998966,248,23.08169597,164,15.26370217,13,1.209927611,10.6557377,0,0.0,13,1.209927611,1,0.093071355,50.0,2,0.186142709,33.33333333,0,0.0,0.279214064,0.0,0,0.0,0,0.0,18.39,6.56,10.94272727,7.53,2.2,49.65,5.191818182,4.9,1,0,0.0,0,1,0,25,5.584281282,100,0,0.0
11055,Euhan K Kuruvilla,South United FC,"['CENTER BACK', 'DEFENSIVE MIDFIELDER']",CENTER BACK,['25'],645,41,5.720930233,65,9.069767442,13.3744856,25,3.488372093,24,3.348837209,75.0,0,0.0,0.0,2,0.279069767,40.0,19,2.651162791,73.07692308,198,27.62790698,87.2246696,4,0.558139535,57.14285714,53,7.395348837,72.60273973,0,0.0,0.0,136,18.97674419,72.72727273,55,7.674418605,40,5.581395349,2,0.279069767,50,6.976744186,22,3.069767442,1,0.139534884,1.149425287,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.139534884,0.139534884,33.33333333,0,0.0,0,0.0,14.3,8.64,11.20125,12.38,3.41,35.24,6.25375,5.45,0,0,0.0,0,0,0,23,0.837209302,100,0,0.0
11087,Manglienboi neihsial,South United FC,"['LEFT WINGER', 'CENTRAL MIDFIELDER', 'LEFT SIDE BACK', 'ATTACKING MIDFIELDER', 'DEFENSIVE MIDFIELDER', 'RIGHT WINGER']",ATTACKING MIDFIELDER,"['16', '13']",342,5,1.315789474,19,5.0,3.777335984,4,1.052631579,14,3.684210526,63.63636364,1,0.263157895,5.0,4,1.052631579,66.66666667,1,0.263157895,33.33333333,74,19.47368421,83.14606742,3,0.789473684,33.33333333,14,3.684210526,73.68421053,5,1.315789474,35.71428571,44,11.57894737,65.67164179,14,3.684210526,240,63.15789474,11,2.894736842,245,64.47368421,157,41.31578947,8,2.105263158,6.956521739,0,0.0,9,2.368421053,3,0.789473684,75.0,1,0.263157895,50.0,1,0.263157895,1.315789474,100.0,1,0.263157895,0,0.0,12.0,0.0,7.232222222,7.31,0.0,17.4,4.272222222,6.84,0,0,0.0,0,0,0,6,5.0,100,1,0.263157895
11106,Manglienboi,South United FC,['CENTRAL MIDFIELDER'],CENTRAL MIDFIELDER,['13'],128,3,2.109375,10,7.03125,6.097560976,0,0.0,7,4.921875,70.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,24,16.875,85.71428571,0,0.0,0.0,6,4.21875,54.54545455,1,0.703125,25.0,11,7.734375,52.38095238,4,2.8125,50,35.15625,1,0.703125,46,32.34375,32,22.5,7,4.921875,20.0,2,1.40625,0,0.0,1,0.703125,50.0,0,0.0,0.0,0,0.0,0.703125,0.0,0,0.0,0,0.0,15.91,6.08,10.53,15.91,6.08,10.53,10.44,8.23,0,0,0.0,0,0,0,0,0.703125,100,0,0.0
11108,Kariappa  CK,South United FC,"['RIGHT WINGER', 'RIGHT SIDE BACK']",RIGHT SIDE BACK,['4'],99,1,0.909090909,5,4.545454545,5.376344086,1,0.909090909,4,3.636363636,100.0,0,0.0,0.0,1,0.909090909,20.0,2,1.818181818,50.0,28,25.45454545,93.33333333,0,0.0,0.0,3,2.727272727,60.0,1,0.909090909,33.33333333,16,14.54545455,76.19047619,8,7.272727273,40,36.36363636,3,2.727272727,29,26.36363636,19,17.27272727,1,0.909090909,2.777777778,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,8.88,7.55,8.215,8.0,4.2,4.46,6.1,4.42,0,0,0.0,0,0,0,1,5.454545455,100,0,0.0
12005,Vivek,South United FC,"['STRIKER', 'CENTER FORWARD']",STRIKER,['18'],71,0,0.0,1,1.267605634,0.558659218,0,0.0,1,1.267605634,50.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,3.802816901,42.85714286,1,1.267605634,33.33333333,1,1.267605634,100.0,0,0.0,0.0,1,1.267605634,25.0,1,1.267605634,20,25.35211268,4,5.070422535,43,54.50704225,19,24.08450704,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,2.31,0.0,1.54,0.46,0.0,0.06,0.153333333,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0
12609,Kiran S,South United FC,"['CENTRAL MIDFIELDER', 'DEFENSIVE MIDFIELDER', 'CENTER BACK']",CENTER BACK,['15'],430,18,3.76744186,28,5.860465116,6.913580247,16,3.348837209,10,2.093023256,90.90909091,1,0.209302326,5.0,0,0.0,0.0,2,0.418604651,20.0,94,19.6744186,94.0,0,0.0,0.0,35,7.325581395,72.91666667,1,0.209302326,100.0,59,12.34883721,76.62337662,25,5.23255814,60,12.55813953,1,0.209302326,31,6.488372093,19,3.976744186,2,0.418604651,2.5,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,17.69,0.0,9.334285714,15.22,0.0,23.82,6.434285714,4.38,0,0,100.0,0,0,0,26,4.813953488,100,0,0.0
12835,Ishaan Sahi,South United FC,"['CENTER FORWARD', 'STRIKER']",CENTER FORWARD,['33'],699,6,0.772532189,20,2.575107296,4.08997955,1,0.128755365,13,1.673819742,61.9047619,2,0.25751073,8.695652174,5,0.643776824,38.46153846,9,1.158798283,25.71428571,98,12.61802575,73.68421053,3,0.386266094,42.85714286,5,0.643776824,50.0,1,0.128755365,16.66666667,21,2.703862661,42.85714286,4,0.515021459,170,21.88841202,28,3.605150215,312,40.17167382,193,24.84978541,11,1.416309013,10.67961165,1,0.128755365,1,0.128755365,11,1.416309013,73.33333333,2,0.25751073,20.0,2,0.25751073,1.931330472,50.0,9,1.158798283,0,0.0,7.1,3.26,4.761111111,6.64,0.5,22.01,3.137777778,3.24,0,0,0.0,0,0,0,0,1.030042918,100,0,0.0
13065,Nikhil Mali,South United FC,"['LEFT WINGER', 'RIGHT WINGER', 'CENTRAL MIDFIELDER']",RIGHT WINGER,['29'],721,17,2.122052705,47,5.866851595,10.65759637,5,0.624133148,30,3.74479889,66.66666667,0,0.0,0.0,4,0.499306519,36.36363636,6,0.748959778,46.15384615,125,15.60332871,78.6163522,6,0.748959778,60.0,16,1.997226075,41.02564103,15,1.872399445,36.58536585,59,7.364771151,49.16666667,19,2.371705964,320,39.9445215,52,6.490984743,470,58.66851595,315,39.32038835,21,2.621359223,21.42857143,7,0.873786408,23,2.871012483,12,1.497919556,70.58823529,4,0.499306519,28.57142857,0,0.0,1.997226075,0.0,6,0.748959778,0,0.0,11.2,4.9,7.74125,8.07,3.15,44.92,6.09625,6.23,0,1,0.0,0,0,0,12,8.488210818,100,0,0.0
13688,Zimik,South United FC,"['CENTER FORWARD', 'LEFT WINGER']",CENTER FORWARD,['11'],15,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,12.0,66.66666667,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,10,60.0,3,18.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,2.86,2.5,2.68,1.0,0.86,0.14,0.93,0.8,0,0,0.0,0,0,0,0,0.0,0,0,0.0
13689,JERSEY 23 YCFC,South United FC,"['STRIKER', 'RIGHT WINGER']",STRIKER,['23'],39,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,13,30.0,86.66666667,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,6.923076923,60.0,0,0.0,5,11.53846154,3,6.923076923,19,43.84615385,8,18.46153846,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,8.17,5.0,6.585,3.7,0.0,0.85,1.85,0.23,0,0,0.0,0,0,0,0,2.307692308,100,0,0.0
